title,legal_name,slug,short_description,full_description,type,brand,brands,is_official_dealer,country,city,district,address,phone,whatsapp,email,website,instagram,working_hours,latitude,longitude,source_name,source_url,source_checked_at,data_verified,data_status,status,notes
BYD Усть-Каменогорск,,byd-oskemen,Официальный дилер BYD в Усть-Каменогорске,Официальный дилерский центр BYD в Усть-Каменогорске данные с официального сайта BYD Kazakhstan,official_dealer,BYD,BYD,true,Kazakhstan,Усть-Каменогорск,,г Усть-каменогорск пр К Сатпаева 45А,+7 (777) 205 33 33,,info@byd-oskemen.kz,https://byd-oskemen.kz,,09:00-20:00,,,BYD Kazakhstan,https://byd-auto.kz/ru/contacts/,2026-05-06,true,verified,published,
BYD Шымкент,,byd-shymkent,Официальный дилер BYD в Шымкенте,Официальный дилерский центр BYD в Шымкенте данные с официального сайта BYD Kazakhstan,official_dealer,BYD,BYD,true,Kazakhstan,Шымкент,,г Шымкент Тауке хана 330/2,+7 (701) 877 79 99,,callcenter@byd-luxcar.kz,https://byd-luxcar-shymkent.kz,,09:00-20:00,,,BYD Kazakhstan,https://byd-auto.kz/ru/contacts/,2026-05-06,true,verified,published,
BYD Шымкент Конаев,,byd-shymkent-konaev,Официальный дилер BYD в Шымкенте,Официальный дилерский центр BYD на проспекте Конаева в Шымкенте данные с официального сайта BYD Kazakhstan,official_dealer,BYD,BYD,true,Kazakhstan,Шымкент,,г Шымкент пр Байдибек би 100а/1,+7 (707) 953 53 53,,shym-byd-qonaev.atz@byd-auto.kz,https://byd-qonaev-shymkent.kz,,09:00-20:00,,,BYD Kazakhstan,https://byd-auto.kz/ru/contacts/,2026-05-06,true,verified,published,
BMW Бавария Алматы,,bmw-bavaria-almaty,Официальный дилер BMW в Алматы,Официальный дилерский центр Бавария Алматы данные с официального сайта BMW Kazakhstan,official_dealer,BMW,BMW,true,Kazakhstan,Алматы,,г Алматы пр Аль-Фараби 107,+7 (727) 333 19 05,,atz@bavaria.kz,https://bavaria-almaty.kz,,09:00-20:00,,,Bavaria Kazakhstan,https://bavaria.kz/ru/bmw/about/contacts/,2026-05-06,true,verified,published,
BMW Бавария Астана,,bmw-bavaria-astana,Официальный дилер BMW в Астане,Официальный дилерский центр Бавария Астана данные с официального сайта BMW Kazakhstan,official_dealer,BMW,BMW,true,Kazakhstan,Астана,,г Астана пр Аль-Фараби,+7 (7172) 576 161,,info.astana@bavaria.kz,https://bavaria-astana.kz,,09:00-20:00,,,Bavaria Kazakhstan,https://bavaria.kz/ru/bmw/about/contacts/,2026-05-06,true,verified,published,
BMW Бавария Восток,,bmw-bavaria-vostok,Официальный дилер BMW на Востоке Казахстана,Официальный дилерский центр Бавария Восток данные с официального сайта BMW Kazakhstan,official_dealer,BMW,BMW,true,Kazakhstan,Усть-Каменогорск,,г Усть-Каменогорск,+7 (771) 202 00 50,,info@bmw-east.kz,https://bavaria-east.kz,,09:00-20:00,,,Bavaria Kazakhstan,https://bavaria.kz/ru/bmw/about/contacts/,2026-05-06,true,verified,published,
BMW Бавария Запад,,bmw-bavaria-zapad,Официальный дилер BMW на Западе Казахстана,Официальный дилерский центр Бавария Запад в Уральске данные с официального сайта BMW Kazakhstan,official_dealer,BMW,BMW,true,Kazakhstan,Уральск,,г Уральск,+7 (771) 707 74 44,,info@bavaria-uralsk.kz,https://bavaria-uralsk.kz,,09:00-20:00,,,Bavaria Kazakhstan,https://bavaria.kz/ru/bmw/about/contacts/,2026-05-06,true,verified,published,
BMW Бавария Караганда,,bmw-bavaria-karaganda,Официальный дилер BMW в Караганде,Официальный дилерский центр Бавария Караганда данные с официального сайта BMW Kazakhstan,official_dealer,BMW,BMW,true,Kazakhstan,Караганда,,г Караганда,+7 (700) 450 43 43,,info@bavaria-karaganda.kz,https://bavaria-karaganda.kz/,,09:00-20:00,,,Bavaria Kazakhstan,https://bavaria.kz/ru/bmw/about/contacts/,2026-05-06,true,verified,published,
BMW Бавария Атырау,,bmw-bavaria-atyrau,Официальный дилер BMW в Атырау,Официальный дилерский центр Бавария Атырау данные с официального сайта BMW Kazakhstan,official_dealer,BMW,BMW,true,Kazakhstan,Атырау,,г Атырау,+7 (7122) 93-02-22,,info@bavaria-atyrau.kz,https://bavaria-atyrau.kz,,09:00-20:00,,,Bavaria Kazakhstan,https://bavaria.kz/ru/bmw/about/contacts/,2026-05-06,true,verified,published,
BMW Бавария Кульджинка,,bmw-bavaria-kuldzhinka,Официальный дилер BMW на Кульджинском тракте,Официальный дилерский центр Бавария Кульджинка данные с официального сайта BMW Kazakhstan,official_dealer,BMW,BMW,true,Kazakhstan,Алматы,,г Алматы Кульджинский тракт 100/1,+7 (702) 881 11 11,,reception.bmw@mycar.kz,https://bavaria-kuldzhinka.kz/,,09:00-20:00,,,Bavaria Kazakhstan,https://bavaria.kz/ru/bmw/about/contacts/,2026-05-06,true,verified,published,
BMW Бавария Костанай,,bmw-bavaria-kostanay,Официальный дилер BMW в Костанае,Официальный дилерский центр Бавария Костанай данные с официального сайта BMW Kazakhstan,official_dealer,BMW,BMW,true,Kazakhstan,Костанай,,г Костанай,+7 (771) 089 42 41,,info.bmw@autodomkst.kz,https://bavaria-kostanay.kz,,09:00-20:00,,,Bavaria Kazakhstan,https://bavaria.kz/ru/bmw/about/contacts/,2026-05-06,true,verified,published,
BMW Бавария Павлодар,,bmw-bavaria-pavlodar,Официальный дилер BMW в Павлодаре,Официальный дилерский центр Бавария Павлодар данные с официального сайта BMW Kazakhstan,official_dealer,BMW,BMW,true,Kazakhstan,Павлодар,,г Павлодар,+7 (705) 38-48-555,,info@bavaria-pavlodar.kz,https://bavaria-pavlodar.kz,,09:00-20:00,,,Bavaria Kazakhstan,https://bavaria.kz/ru/bmw/about/contacts/,2026-05-06,true,verified,published,
Lexus Актобе,,lexus-aktobe,Официальный дилер Lexus в Актобе,Официальный дилерский центр Lexus в Актобе данные с официального сайта Lexus Kazakhstan,official_dealer,Lexus,Lexus,true,Kazakhstan,Актобе,,г Актобе проспект Санкибай батыра 72Г,+7 (7132) 74 15 15,,Info@lexusaktobe.kz,https://lexusaktobe.kz,,09:00-20:00,,,Lexus Kazakhstan,https://ru.lexuskz.com/contact/dealers/list,2026-05-06,true,verified,published,
Lexus Алматы,,lexus-almaty,Официальный дилер Lexus в Алматы,Официальный дилерский центр Lexus в Алматы данные с официального сайта Lexus Kazakhstan,official_dealer,Lexus,Lexus,true,Kazakhstan,Алматы,,г Алматы пр Аль-Фараби 140/4,+7 (727) 315 8315,,info@lexus-almaty.kz,https://lexus-almaty.kz/,,09:00-20:00,,,Lexus Kazakhstan,https://ru.lexuskz.com/contact/dealers/list,2026-05-06,true,verified,published,
Lexus Астана,,lexus-astana,Официальный дилер Lexus в Астане,Официальный дилерский центр Lexus в Астане данные с официального сайта Lexus Kazakhstan,official_dealer,Lexus,Lexus,true,Kazakhstan,Астана,,г Астана проспект Кабанбай батыра 37,+7 (778) 003 7474,,info@lexus-astana.kz,https://lexus-astana.kz/,,09:00-20:00,,,Lexus Kazakhstan,https://ru.lexuskz.com/contact/dealers/list,2026-05-06,true,verified,published,
Lexus Шымкент,,lexus-shymkent,Официальный дилер Lexus в Шымкенте,Официальный дилерский центр Lexus в Шымкенте данные с официального сайта Lexus Kazakhstan,official_dealer,Lexus,Lexus,true,Kazakhstan,Шымкент,,г Шымкент проспект Байдибек Би Земельный участок 132,+7 (7252) 55 52 52,,info@lexus-shymkent.kz,https://lexus-shymkent.kz,,09:00-20:00,,,Lexus Kazakhstan,https://ru.lexuskz.com/contact/dealers/list,2026-05-06,true,verified,published,
Lexus Актау,,lexus-aktau,Официальный дилер Lexus в Актау,Официальный дилерский центр Lexus в Актау данные с официального сайта Lexus Kazakhstan,official_dealer,Lexus,Lexus,true,Kazakhstan,Актау,,г Актау промышленная зона 9 здание 39,+7 (7292) 30 40 80,,info@lexus-aktau.kz,https://lexus-aktau.kz/,,09:00-20:00,,,Lexus Kazakhstan,https://ru.lexuskz.com/contact/dealers/list,2026-05-06,true,verified,published,
Lexus Костанай,,lexus-kostanay,Официальный дилер Lexus в Костанае,Официальный дилерский центр Lexus в Костанае данные с официального сайта Lexus Kazakhstan,official_dealer,Lexus,Lexus,true,Kazakhstan,Костанай,,г Костанай проспект Абая дом 26 В,+7 (7142) 39 04 04,,info@lexus-kostanay.kz,https://lexus-kostanay.kz/,,09:00-20:00,,,Lexus Kazakhstan,https://ru.lexuskz.com/contact/dealers/list,2026-05-06,true,verified,published,
Lexus Павлодар,,lexus-pavlodar,Официальный дилер Lexus в Павлодаре,Официальный дилерский центр Lexus в Павлодаре данные с официального сайта Lexus Kazakhstan,official_dealer,Lexus,Lexus,true,Kazakhstan,Павлодар,,г Павлодар проезд И 1/5,+7 (7182) 66 15 33,,info@lexus-pavlodar.kz,https://lexus-pavlodar.kz/,,09:00-20:00,,,Lexus Kazakhstan,https://ru.lexuskz.com/contact/dealers/list,2026-05-06,true,verified,published,
Lexus Атырау,,lexus-atyrau,Официальный дилер Lexus в Атырау,Официальный дилерский центр Lexus в Атырау данные с официального сайта Lexus Kazakhstan,official_dealer,Lexus,Lexus,true,Kazakhstan,Атырау,,г Атырау пр Абылхаир хана д 94,+7 (708) 030 3025,,info@toyota-atyrau.kz,https://www.lexus-atyrau.kz/,,09:00-20:00,,,Lexus Kazakhstan,https://ru.lexuskz.com/contact/dealers/list,2026-05-06,true,verified,published,
Lexus Сервис Караганда,,lexus-service-karaganda,Сервисный центр Lexus в Караганде,Официальный сервисный центр Lexus в Караганде данные с официального сайта Lexus Kazakhstan,service,Lexus,Lexus,true,Kazakhstan,Караганда,,г Караганда Октябрьский район учетный квартал 108 строение 305,+7 (775) 222 2328,,info@toyota-karaganda.kz,https://toyota-karaganda.kz,,09:00-20:00,,,Lexus Kazakhstan,https://ru.lexuskz.com/contact/dealers/list,2026-05-06,true,verified,published,
Lexus Уральск,,lexus-uralsk,Официальный дилер Lexus в Уральске,Официальный дилерский центр Lexus в Уральске данные с официального сайта Lexus Kazakhstan,official_dealer,Lexus,Lexus,true,Kazakhstan,Уральск,,г Уральск Проспект Абая 246/6,+7 (700) 442 7777,,info@lexus-uralsk.kz,https://lexus-uralsk.kz/,,09:00-20:00,,,Lexus Kazakhstan,https://ru.lexuskz.com/contact/dealers/list,2026-05-06,true,verified,published,
Kia Allur Mailina Алматы,,kia-allur-mailina-almaty,Официальный дилер Kia в Алматы,Официальный дилерский центр Kia Allur Mailina в Алматы данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Алматы,,г Алматы,+7 5588,,,https://allurmailina.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Allur Suyunbaya Алматы,,kia-allur-suyunbaya-almaty,Официальный дилер Kia в Алматы,Официальный дилерский центр Kia Allur Suyunbaya в Алматы данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Алматы,,г Алматы,+7 5588,,,https://allursuyunbaya.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Aster Алматы,,kia-aster-almaty,Официальный дилер Kia в Алматы,Официальный дилерский центр Kia Aster в Алматы данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Алматы,,г Алматы,+7 (700) 836 90 72,,,https://asteralmaty.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Doscar Алматы,,kia-doscar-almaty,Официальный дилер Kia в Алматы,Официальный дилерский центр Kia Doscar в Алматы данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Алматы,,г Алматы,+7 (727) 355 90 50,,,https://doscaralmaty.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Doscar Kuldzhinka,,kia-doscar-kuldzhinka,Официальный дилер Kia в Алматы,Официальный дилерский центр Kia Doscar Kuldzhinka в Алматы данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Алматы,,г Алматы,+7 (727) 355 44 11,,,https://doscarkuldzhinka.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Allur Astana,,kia-allur-astana,Официальный дилер Kia в Астане,Официальный дилерский центр Kia Allur в Астане данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Астана,,г Астана,+7 5588,,,https://allurastana.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Aster Astana,,kia-aster-astana,Официальный дилер Kia в Астане,Официальный дилерский центр Kia Aster в Астане данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Астана,,г Астана,+7 (700) 836 91 32,,,https://asterastana.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Doscar Astana,,kia-doscar-astana,Официальный дилер Kia в Астане,Официальный дилерский центр Kia Doscar в Астане данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Астана,,г Астана,+7 (7172) 47 66 88,,,https://doscarastana.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Terra Motors Astana,,kia-terra-astana,Официальный дилер Kia в Астане,Официальный дилерский центр Kia Terra Motors в Астане данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Астана,,г Астана,+7 (7172) 476 999,,,https://terramotors.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Doscar Шымкент,,kia-doscar-shymkent,Официальный дилер Kia в Шымкенте,Официальный дилерский центр Kia Doscar в Шымкенте данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Шымкент,,г Шымкент,+7 (7252) 600 555,,,https://doscarshymkent.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Mercury Шымкент,,kia-mercury-shymkent,Официальный дилер Kia в Шымкенте,Официальный дилерский центр Kia Mercury в Шымкенте данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Шымкент,,г Шымкент,+7 (7252) 600 990,,,https://mercury.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Doscar Тараз,,kia-doscar-taraz,Официальный дилер Kia в Таразе,Официальный дилерский центр Kia Doscar в Таразе данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Тараз,,г Тараз,+7 (7262) 934 777,,,https://doscartaraz.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Bahus Караганда,,kia-bahus-karaganda,Официальный дилер Kia в Караганде,Официальный дилерский центр Kia Bahus в Караганде данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Караганда,,г Караганда,+7 (7212) 956 655,,,https://allurkrg.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Алтын Кар Уральск,,kia-altyncar-uralsk,Официальный дилер Kia в Уральске,Официальный дилерский центр Kia Алтын Кар в Уральске данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Уральск,,г Уральск,+7 (7112) 91 40 55,,,https://altyncar.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Doscar Актау,,kia-doscar-aktau,Официальный дилер Kia в Актау,Официальный дилерский центр Kia Doscar в Актау данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Актау,,г Актау,+7 (7292) 78 00 10,,,https://doscaraktau.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Caspi Атырау,,kia-caspi-atyrau,Официальный дилер Kia в Атырау,Официальный дилерский центр Kia Caspi в Атырау данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Атырау,,г Атырау,+7 (7122) 716 000,,,https://caspi.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Sever Павлодар,,kia-sever-pavlodar,Официальный дилер Kia в Павлодаре,Официальный дилерский центр Kia Sever в Павлодаре данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Павлодар,,г Павлодар,+7 (775) 095 44 60,,,https://sever.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Allur Костанай,,kia-allur-kostanay,Официальный дилер Kia в Костанае,Официальный дилерский центр Kia Allur в Костанае данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Костанай,,г Костанай,+7 (7142) 909 101,,,https://allurkst.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Tarlan Костанай,,kia-tarlan-kostanay,Официальный дилер Kia в Костанае,Официальный дилерский центр Kia Tarlan в Костанае данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Костанай,,г Костанай,+7 (7142) 390 549,,,https://tarlan.kia.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Kamkor Павлодар,,kia-kamkor-pavlodar,Официальный дилер Kia в Павлодаре,Официальный дилерский центр Kia Kamkor в Павлодаре данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Павлодар,,г Павлодар,+7 (7182) 90 10 10,,,https://kamkor.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Doscar Эртис Павлодар,,kia-doscar-ertis-pavlodar,Официальный дилер Kia в Павлодаре,Официальный дилерский центр Kia Doscar Эртис в Павлодаре данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Павлодар,,г Павлодар,+7 (7182) 660 660,,,https://doscarertis.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Vivaga Петропавловск,,kia-vivaga-petropavlovsk,Официальный дилер Kia в Петропавловске,Официальный дилерский центр Kia Vivaga в Петропавловске данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Петропавловск,,г Петропавловск,+7 (7152) 627 001,,,https://vivaga.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Ilbers Семей,,kia-ilbers-semey,Официальный дилер Kia в Семее,Официальный дилерский центр Kia Ilbers в Семее данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Семей,,г Семей,+7 (7222) 36 08 31,,,https://ilbers.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Doscar Восток,,kia-doscar-vostok,Официальный дилер Kia на Востоке Казахстана,Официальный дилерский центр Kia Doscar Восток данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Усть-Каменогорск,,г Усть-Каменогорск,+7 (7232) 912 032,,,https://doscarvostok.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Germes Кызылорда,,kia-germes-kyzylorda,Официальный дилер Kia в Кызылорде,Официальный дилерский центр Kia Germes в Кызылорде данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Кызылорда,,г Кызылорда,+7 (777) 888 68 68,,,https://germes.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Жетысу Талдыкорган,,kia-zhetisu-taldykorgan,Официальный дилер Kia в Талдыкоргане,Официальный дилерский центр Kia Жетысу в Талдыкоргане данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Талдыкорган,,г Талдыкорган,+7 (7282) 401 401,,,https://jetisu.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Bahus Жезказган,,kia-bahus-zhezkazgan,Официальный дилер Kia в Жезказгане,Официальный дилерский центр Kia Bahus в Жезказгане данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Жезказган,,г Жезказган,+7 (7212) 95 63 33,,,https://bahuszhezkazgan.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Kolauto Актобе,,kia-kolauto-aktobe,Официальный дилер Kia в Актобе,Официальный дилерский центр Kia Kolauto в Актобе данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Актобе,,г Актобе,+7 (7132) 923 030,,,https://kolauto.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
Kia Alemauto Актобе,,kia-alemauto-aktobe,Официальный дилер Kia в Актобе,Официальный дилерский центр Kia Alemauto в Актобе данные с официального сайта Kia Kazakhstan,official_dealer,Kia,Kia,true,Kazakhstan,Актобе,,г Актобе,+7 (700) 020 26 00,,,https://alemauto.kia.com.kz,,09:00-20:00,,,Kia Kazakhstan,https://kia.com.kz/dealers/,2026-05-06,true,verified,published,
JAC Trade Алматы,,jac-trade-almaty,Официальный дилер JAC в Алматы,Официальный дилерский центр JAC Trade в Алматы данные с официального сайта JAC Kazakhstan,official_dealer,JAC,JAC,true,Kazakhstan,Алматы,,г Алматы проспект Рыскулова 149/1,+7 (727) 245-14-72,,kamazkz@inbox.ru,https://jactrade.kz/,,09:00-20:00,,,JAC Trade,https://jactrade.kz/kontakty/,2026-05-06,true,verified,published,
JAC Trade Астана,,jac-trade-astana,Официальный дилер JAC в Астане,Официальный дилерский центр JAC Trade в Астане данные с официального сайта JAC Kazakhstan,official_dealer,JAC,JAC,true,Kazakhstan,Астана,,г Астана пр Абылай хана 6 оф 46,+7 (7172) 35-36-16,,kamazkz1@mail.ru,https://jactrade.kz/,,09:00-20:00,,,JAC Trade,https://jactrade.kz/kontakty/,2026-05-06,true,verified,published,
